Key Financial Ratios of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar 14,Mar 13,Mar 12,Mar 11,Mar 10,
Per Share Ratios,,,,,,
Basic EPS (Rs.),9.80,8.76,5.88,4.92,17.49,
Diluted EPS (Rs.),9.80,8.76,5.88,4.92,17.49,
Cash EPS (Rs.),11.94,10.47,7.24,5.96,21.69,
Book Value [ExclRevalReserve]/Share (Rs.),45.09,33.45,26.05,21.42,86.99,
Book Value [InclRevalReserve]/Share (Rs.),45.09,33.45,26.05,21.42,86.99,
Dividend / Share(Rs.),1.00,1.00,1.00,0.90,4.00,
Revenue from Operations/Share (Rs.),20.99,16.78,12.39,9.41,34.83,
PBDIT/Share (Rs.),16.52,13.34,8.74,7.14,27.98,
PBIT/Share (Rs.),14.32,11.64,7.38,6.10,23.78,
PBT/Share (Rs.),10.68,9.43,6.34,5.38,19.43,
Net Profit/Share (Rs.),9.74,8.76,5.88,4.92,17.49,
Profitability Ratios,,,,,,
PBDIT Margin (%),78.69,79.54,70.58,75.87,80.33,
PBIT Margin (%),68.20,69.35,59.56,64.84,68.28,
PBT Margin (%),50.85,56.20,51.15,57.12,55.78,
Net Profit Margin (%),46.39,52.19,47.43,52.31,50.23,
Return on Networth / Equity (%),21.60,26.17,22.55,22.98,20.11,
Return on Capital Employed (%),10.59,11.48,11.33,15.84,13.30,
Return on Assets (%),9.64,9.60,8.93,11.58,8.71,
Total Debt/Equity (X),0.89,1.16,0.98,0.37,0.91,
Asset Turnover Ratio (%),20.78,18.41,18.83,22.15,17.35,
Liquidity Ratios,,,,,,
Current Ratio (X),2.56,1.58,0.37,0.26,0.62,
Quick Ratio (X),2.48,1.55,0.35,0.24,0.61,
Inventory Turnover Ratio (X),30.38,38.50,39.70,45.80,44.45,
Dividend Payout Ratio (NP) (%),10.59,11.42,17.01,18.28,22.86,
Dividend Payout Ratio (CP) (%),8.64,9.55,13.80,15.10,18.44,
Earnings Retention Ratio (%),89.41,88.58,82.99,81.72,77.14,
Cash Earnings Retention Ratio (%),91.36,90.45,86.20,84.90,81.56,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"46,683.19","35,005.71","30,458.40","28,822.18","33,964.95",
EV/Net Operating Revenue (X),10.74,10.42,12.27,15.29,24.34,
EV/EBITDA (X),13.65,13.09,17.39,20.15,30.30,
MarketCap/Net Operating Revenue (X),8.93,8.27,10.42,14.50,22.69,
Retention Ratios (%),89.40,88.57,82.98,81.71,77.13,
Price/BV (X),4.16,4.15,4.95,6.37,9.08,
Price/Net Operating Revenue,8.93,8.27,10.42,14.50,22.69,
Earnings Yield,0.05,0.06,0.05,0.04,0.02,
