Key Financial Ratios of Asian Paints (in Rs. Cr.),Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,
Per Share Ratios,,,,,,
Basic EPS (Rs.),22.23,19.75,18.78,16.65,13.84,
Diluted EPS (Rs.),22.23,19.75,18.78,16.65,13.84,
Cash EPS (Rs.),27.87,23.00,21.86,19.14,16.16,
Book Value [ExclRevalReserve]/Share (Rs.),92.19,81.30,73.97,51.74,44.10,
Book Value [InclRevalReserve]/Share (Rs.),92.19,81.30,73.97,51.74,44.10,
Dividend / Share(Rs.),10.50,8.70,10.30,7.50,6.10,
Revenue from Operations/Share (Rs.),170.89,147.70,131.85,131.84,121.44,
PBDIT/Share (Rs.),39.51,33.34,30.97,28.20,22.91,
PBIT/Share (Rs.),33.87,30.10,27.89,25.71,20.58,
PBT/Share (Rs.),33.05,29.88,27.70,24.79,20.16,
Net Profit/Share (Rs.),22.23,19.75,18.78,16.65,13.84,
Profitability Ratios,,,,,,
PBDIT Margin (%),23.11,22.57,23.49,21.38,18.86,
PBIT Margin (%),19.81,20.37,21.15,19.50,16.94,
PBT Margin (%),19.34,20.22,21.00,18.80,16.59,
Net Profit Margin (%),13.00,13.37,14.24,12.63,11.39,
Return on Networth / Equity (%),24.11,24.29,25.39,32.18,31.37,
Return on Capital Employed (%),33.01,35.25,35.75,30.14,29.39,
Return on Assets (%),15.58,16.35,17.39,19.09,18.25,
Total Debt/Equity (X),0.00,0.00,0.01,0.01,0.01,
Asset Turnover Ratio (%),119.79,122.26,122.09,151.19,160.16,
Liquidity Ratios,,,,,,
Current Ratio (X),1.58,1.62,1.89,1.47,1.51,
Quick Ratio (X),0.90,0.98,1.13,0.94,0.86,
Inventory Turnover Ratio (X),6.34,6.50,5.76,7.85,6.46,
Dividend Payout Ratio (NP) (%),40.03,52.14,42.32,45.03,44.08,
Dividend Payout Ratio (CP) (%),31.93,44.78,36.36,39.18,37.73,
Earnings Retention Ratio (%),59.97,47.86,57.68,54.97,55.92,
Cash Earnings Retention Ratio (%),68.07,55.22,63.64,60.82,62.27,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"142,950.77","107,386.57","102,580.78","83,202.23","77,545.58",
EV/Net Operating Revenue (X),8.72,7.58,8.11,6.58,6.66,
EV/EBITDA (X),37.72,33.58,34.53,30.76,35.29,
MarketCap/Net Operating Revenue (X),8.73,7.59,8.12,6.59,6.66,
Retention Ratios (%),59.96,47.85,57.67,54.96,55.91,
Price/BV (X),16.18,13.79,14.48,16.79,18.34,
Price/Net Operating Revenue,8.73,7.59,8.12,6.59,6.66,
Earnings Yield,0.01,0.02,0.02,0.02,0.02,
