Key Financial Ratios of Asian Paints (in Rs. Cr.),Mar 14,Mar 13,Mar 12,Mar 11,Mar 10,
Per Share Ratios,,,,,,
Basic EPS (Rs.),12.19,109.47,99.92,80.81,80.74,
Diluted EPS (Rs.),12.19,109.47,99.92,80.81,80.74,
Cash EPS (Rs.),14.40,122.70,110.29,90.66,87.08,
Book Value [ExclRevalReserve]/Share (Rs.),37.54,315.08,259.36,205.93,162.35,
Book Value [InclRevalReserve]/Share (Rs.),37.54,315.08,259.36,205.93,162.35,
Dividend / Share(Rs.),5.30,46.00,40.00,32.00,27.00,
Revenue from Operations/Share (Rs.),108.62,935.33,830.29,660.56,559.60,
PBDIT/Share (Rs.),20.34,174.46,155.68,128.46,120.18,
PBIT/Share (Rs.),18.13,161.22,145.30,118.61,113.85,
PBT/Share (Rs.),17.75,158.04,142.09,117.01,112.41,
Net Profit/Share (Rs.),12.19,109.47,99.92,80.81,80.74,
Profitability Ratios,,,,,,
PBDIT Margin (%),18.72,18.65,18.74,19.44,21.47,
PBIT Margin (%),16.68,17.23,17.50,17.95,20.34,
PBT Margin (%),16.34,16.89,17.11,17.71,20.08,
Net Profit Margin (%),11.22,11.70,12.03,12.23,14.42,
Return on Networth / Equity (%),32.46,34.74,38.52,39.24,49.73,
Return on Capital Employed (%),29.99,31.91,35.62,35.55,45.72,
Return on Assets (%),17.49,18.58,19.24,20.10,24.53,
Total Debt/Equity (X),0.01,0.02,0.07,0.03,0.04,
Asset Turnover Ratio (%),155.92,158.83,159.92,164.35,170.04,
Liquidity Ratios,,,,,,
Current Ratio (X),1.43,1.29,1.21,1.46,0.92,
Quick Ratio (X),0.83,0.66,0.66,0.82,0.40,
Inventory Turnover Ratio (X),6.26,6.06,6.30,5.91,7.03,
Dividend Payout Ratio (NP) (%),43.48,42.02,40.03,39.59,33.43,
Dividend Payout Ratio (CP) (%),36.80,37.48,36.26,35.29,31.00,
Earnings Retention Ratio (%),56.52,57.98,59.97,60.41,66.57,
Cash Earnings Retention Ratio (%),63.20,62.52,63.74,64.71,69.00,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"51,714.43","46,618.82","30,718.68","23,791.18","19,630.31",
EV/Net Operating Revenue (X),4.96,5.20,3.86,3.75,3.66,
EV/EBITDA (X),26.51,27.86,20.57,19.31,17.03,
MarketCap/Net Operating Revenue (X),5.03,5.25,3.90,3.83,3.65,
Retention Ratios (%),56.51,57.97,59.96,60.40,66.56,
Price/BV (X),14.56,15.60,12.48,12.27,12.58,
Price/Net Operating Revenue,5.03,5.25,3.90,3.83,3.65,
Earnings Yield,0.02,0.02,0.03,0.03,0.04,
