Key Financial Ratios of Bajaj Auto (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),264.60,197.30,173.60,157.50,176.30,
Diluted EPS (Rs.),264.60,197.30,173.60,157.50,176.30,
Cash EPS (Rs.),280.42,208.86,182.74,166.36,184.76,
Book Value [ExclRevalReserve]/Share (Rs.),890.48,898.57,921.62,870.94,688.58,
Book Value [InclRevalReserve]/Share (Rs.),890.48,898.57,921.62,870.94,688.58,
Dividend / Share(Rs.),80.00,140.00,140.00,140.00,120.00,
Revenue from Operations/Share (Rs.),"1,600.59","1,287.38","1,145.41",958.67,"1,033.92",
PBDIT/Share (Rs.),366.26,273.20,223.52,214.43,236.02,
PBIT/Share (Rs.),353.73,263.22,214.21,205.47,227.51,
PBT/Share (Rs.),351.82,261.83,224.81,205.24,227.40,
Net Profit/Share (Rs.),267.88,198.88,173.44,157.40,176.24,
Profitability Ratios,,,,,,
PBDIT Margin (%),22.88,21.22,19.51,22.36,22.82,
PBIT Margin (%),22.10,20.44,18.70,21.43,22.00,
PBT Margin (%),21.98,20.33,19.62,21.40,21.99,
Net Profit Margin (%),16.73,15.44,15.14,16.41,17.04,
Return on Networth / Equity (%),30.08,22.13,18.81,18.07,25.59,
Return on Capital Employed (%),38.68,28.72,22.76,22.96,32.08,
Return on Assets (%),21.83,18.07,15.72,14.44,20.58,
Total Debt/Equity (X),0.03,0.00,0.00,0.00,0.00,
Asset Turnover Ratio (%),1.37,1.16,1.04,0.99,120.76,
Liquidity Ratios,,,,,,
Current Ratio (X),1.19,1.71,2.13,2.51,1.55,
Quick Ratio (X),0.99,1.44,1.87,2.25,1.30,
Inventory Turnover Ratio (X),18.92,18.27,16.28,14.32,28.13,
Dividend Payout Ratio (NP) (%),52.96,71.98,80.71,0.00,102.12,
Dividend Payout Ratio (CP) (%),50.60,68.54,76.60,0.00,97.42,
Earnings Retention Ratio (%),47.04,28.02,19.29,0.00,-2.12,
Cash Earnings Retention Ratio (%),49.40,31.46,23.40,0.00,2.58,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"255,604.75","109,611.67","105,104.05","105,720.62","58,286.26",
EV/Net Operating Revenue (X),5.72,3.01,3.17,3.81,1.95,
EV/EBITDA (X),25.00,14.18,16.25,17.04,8.53,
MarketCap/Net Operating Revenue (X),5.71,3.02,3.19,3.83,1.96,
Retention Ratios (%),47.03,28.01,19.28,0.00,-2.12,
Price/BV (X),10.27,4.32,3.96,4.22,2.94,
Price/Net Operating Revenue,5.71,3.02,3.19,3.83,1.96,
Earnings Yield,0.03,0.05,0.05,0.04,0.09,
