Key Financial Ratios of Bharat Electronics (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),5.50,4.11,9.64,8.48,7.36,
Diluted EPS (Rs.),5.50,4.11,9.64,8.48,7.36,
Cash EPS (Rs.),6.06,4.67,11.20,9.98,8.80,
Book Value [ExclRevalReserve]/Share (Rs.),22.00,18.58,49.18,44.36,40.44,
Book Value [InclRevalReserve]/Share (Rs.),22.00,18.58,49.18,44.36,40.44,
Dividend / Share(Rs.),2.20,1.80,4.50,4.00,2.80,
Revenue from Operations/Share (Rs.),27.59,24.14,62.85,57.72,53.03,
PBDIT/Share (Rs.),7.87,6.03,14.54,13.57,11.62,
PBIT/Share (Rs.),7.31,5.47,12.98,12.07,10.19,
PBT/Share (Rs.),7.30,5.45,12.96,12.04,10.17,
Net Profit/Share (Rs.),5.50,4.11,9.64,8.48,7.36,
Profitability Ratios,,,,,,
PBDIT Margin (%),28.52,24.97,23.13,23.51,21.91,
PBIT Margin (%),26.48,22.66,20.65,20.91,19.21,
PBT Margin (%),26.44,22.58,20.62,20.86,19.18,
Net Profit Margin (%),19.93,17.03,15.33,14.68,13.88,
Return on Networth / Equity (%),24.99,22.13,19.60,19.11,18.20,
Return on Capital Employed (%),31.11,27.49,22.72,23.93,22.29,
Return on Assets (%),10.26,8.57,7.02,7.10,7.50,
Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,
Asset Turnover Ratio (%),0.54,0.52,0.49,48.40,54.03,
Liquidity Ratios,,,,,,
Current Ratio (X),1.54,1.46,1.39,1.41,1.46,
Quick Ratio (X),1.20,1.15,1.11,1.11,1.15,
Inventory Turnover Ratio (X),1.52,1.57,1.55,2.84,3.26,
Dividend Payout Ratio (NP) (%),36.36,41.33,43.56,49.54,42.10,
Dividend Payout Ratio (CP) (%),32.98,36.39,37.49,42.08,35.23,
Earnings Retention Ratio (%),63.64,58.67,56.44,50.46,57.90,
Cash Earnings Retention Ratio (%),67.02,63.61,62.51,57.92,64.77,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"136,287.82","63,298.10","43,876.57","25,473.66","16,558.42",
EV/Net Operating Revenue (X),6.76,3.59,2.87,1.81,1.28,
EV/EBITDA (X),23.69,14.36,12.38,7.70,5.85,
MarketCap/Net Operating Revenue (X),7.30,4.04,3.35,2.17,1.40,
Retention Ratios (%),63.63,58.66,56.43,50.45,57.89,
Price/BV (X),9.16,5.25,4.29,2.82,1.84,
Price/Net Operating Revenue,7.30,4.04,3.35,2.17,1.40,
Earnings Yield,0.03,0.04,0.05,0.07,0.10,
