Key Financial Ratios of Bharat Petroleum Corporation (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),125.21,8.78,41.31,96.44,13.64,
Diluted EPS (Rs.),125.21,8.78,41.31,96.12,13.64,
Cash EPS (Rs.),156.46,38.59,63.60,109.99,32.90,
Book Value [ExclRevalReserve]/Share (Rs.),349.55,244.18,233.25,260.62,168.87,
Book Value [InclRevalReserve]/Share (Rs.),349.55,244.18,233.25,260.62,168.87,
Dividend / Share(Rs.),31.50,4.00,16.00,79.00,16.50,
Revenue from Operations/Share (Rs.),"2,097.16","2,221.82","1,701.27","1,111.11","1,445.86",
PBDIT/Share (Rs.),217.99,61.71,87.37,102.61,49.42,
PBIT/Share (Rs.),186.40,31.90,65.04,83.60,30.17,
PBT/Share (Rs.),166.40,10.41,55.95,108.07,13.58,
Net Profit/Share (Rs.),124.86,8.78,41.27,90.98,13.64,
Profitability Ratios,,,,,,
PBDIT Margin (%),10.39,2.77,5.13,9.23,3.41,
PBIT Margin (%),8.88,1.43,3.82,7.52,2.08,
PBT Margin (%),7.93,0.46,3.28,9.72,0.93,
Net Profit Margin (%),5.95,0.39,2.42,8.18,0.94,
Return on Networth / Equity (%),35.71,3.59,17.69,34.91,8.07,
Return on Capital Employed (%),39.51,7.63,17.53,20.37,8.79,
Return on Assets (%),15.41,1.16,5.83,13.54,2.12,
Total Debt/Equity (X),0.25,0.69,0.49,0.39,1.15,
Asset Turnover Ratio (%),2.68,3.04,2.49,165.38,224.86,
Liquidity Ratios,,,,,,
Current Ratio (X),0.88,0.77,0.76,0.93,0.70,
Quick Ratio (X),0.29,0.24,0.26,0.44,0.35,
Inventory Turnover Ratio (X),5.26,6.30,4.40,8.69,13.93,
Dividend Payout Ratio (NP) (%),20.33,69.59,167.83,23.92,179.59,
Dividend Payout Ratio (CP) (%),16.22,15.83,108.91,19.78,74.47,
Earnings Retention Ratio (%),79.67,30.41,-67.83,76.08,-79.59,
Cash Earnings Retention Ratio (%),83.78,84.17,-8.91,80.22,25.53,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"142,945.00","106,998.09","99,778.44","103,778.24","100,250.66",
EV/Net Operating Revenue (X),0.32,0.23,0.28,0.45,0.35,
EV/EBITDA (X),3.07,8.14,5.36,4.83,10.31,
MarketCap/Net Operating Revenue (X),0.29,0.15,0.21,0.39,0.22,
Retention Ratios (%),79.66,30.40,-67.83,76.07,-79.59,
Price/BV (X),1.72,1.41,1.54,1.64,1.87,
Price/Net Operating Revenue,0.29,0.15,0.21,0.39,0.22,
Earnings Yield,0.21,0.03,0.11,0.21,0.04,
