Key Financial Ratios of Bharat Petroleum Corporation (in Rs. Cr.),Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,
Per Share Ratios,,,,,,
Basic EPS (Rs.),36.26,40.55,40.87,102.78,70.32,
Diluted EPS (Rs.),36.26,40.55,40.87,102.78,70.32,
Cash EPS (Rs.),52.48,54.04,75.73,128.43,105.11,
Book Value [ExclRevalReserve]/Share (Rs.),186.78,173.53,226.26,375.60,310.72,
Book Value [InclRevalReserve]/Share (Rs.),186.78,173.53,226.26,375.60,310.72,
Dividend / Share(Rs.),19.00,21.00,32.50,31.00,22.50,
Revenue from Operations/Share (Rs.),"1,511.40","1,202.01","1,542.12","2,618.01","3,292.68",
PBDIT/Share (Rs.),76.00,75.10,102.42,180.73,145.41,
PBIT/Share (Rs.),59.78,61.62,88.00,155.09,110.62,
PBT/Share (Rs.),53.08,57.38,84.22,147.30,102.55,
Net Profit/Share (Rs.),36.26,40.55,61.31,102.78,70.32,
Profitability Ratios,,,,,,
PBDIT Margin (%),5.02,6.24,6.64,6.90,4.41,
PBIT Margin (%),3.95,5.12,5.70,5.92,3.35,
PBT Margin (%),3.51,4.77,5.46,5.62,3.11,
Net Profit Margin (%),2.39,3.37,3.97,3.92,2.13,
Return on Networth / Equity (%),19.41,23.36,27.09,27.36,22.63,
Return on Capital Employed (%),17.19,21.87,23.79,16.77,13.70,
Return on Assets (%),6.16,7.96,8.73,9.78,7.29,
Total Debt/Equity (X),0.74,0.67,0.71,0.50,0.52,
Asset Turnover Ratio (%),257.09,236.11,219.81,249.11,341.44,
Liquidity Ratios,,,,,,
Current Ratio (X),0.99,0.83,0.79,0.89,0.93,
Quick Ratio (X),0.53,0.36,0.33,0.45,0.48,
Inventory Turnover Ratio (X),13.80,11.33,10.21,13.82,16.47,
Dividend Payout Ratio (NP) (%),49.64,36.16,70.15,30.16,31.99,
Dividend Payout Ratio (CP) (%),34.30,27.13,56.79,24.13,21.40,
Earnings Retention Ratio (%),50.36,63.84,29.85,69.84,68.01,
Cash Earnings Retention Ratio (%),65.70,72.87,43.21,75.87,78.60,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"105,071.20","106,841.33","106,032.68","76,835.19","68,982.94",
EV/Net Operating Revenue (X),0.35,0.45,0.52,0.41,0.29,
EV/EBITDA (X),7.03,7.23,7.90,5.88,6.56,
MarketCap/Net Operating Revenue (X),0.26,0.36,0.42,0.34,0.25,
Retention Ratios (%),50.35,63.83,29.84,69.83,68.00,
Price/BV (X),2.12,2.47,2.87,2.40,2.61,
Price/Net Operating Revenue,0.26,0.36,0.42,0.34,0.25,
Earnings Yield,0.09,0.09,0.09,0.11,0.09,
