Key Financial Ratios of Apollo Hospitals Enterprises (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),70.28,75.45,46.25,7.50,33.80,
Diluted EPS (Rs.),70.28,75.45,46.25,7.50,33.80,
Cash EPS (Rs.),98.02,100.94,71.53,37.61,68.43,
Book Value [ExclRevalReserve]/Share (Rs.),536.22,481.56,424.94,361.72,286.52,
Book Value [InclRevalReserve]/Share (Rs.),536.22,481.56,424.94,361.72,286.52,
Dividend / Share(Rs.),16.00,15.00,11.75,3.00,6.00,
Revenue from Operations/Share (Rs.),505.83,453.74,424.08,636.51,703.62,
PBDIT/Share (Rs.),137.51,127.47,101.97,67.13,102.46,
PBIT/Share (Rs.),109.76,101.97,76.70,36.82,67.81,
PBT/Share (Rs.),92.39,85.36,59.27,12.28,49.02,
Net Profit/Share (Rs.),70.27,75.44,46.26,7.30,33.79,
Profitability Ratios,,,,,,
PBDIT Margin (%),27.18,28.09,24.04,10.54,14.56,
PBIT Margin (%),21.69,22.47,18.08,5.78,9.63,
PBT Margin (%),18.26,18.81,13.97,1.92,6.96,
Net Profit Margin (%),13.89,16.62,10.90,1.14,4.80,
Return on Networth / Equity (%),13.10,15.66,10.88,2.01,11.79,
Return on Capital Employed (%),14.30,15.37,11.96,6.45,11.50,
Return on Assets (%),8.14,10.06,6.39,1.07,4.63,
Total Debt/Equity (X),0.25,0.25,0.33,0.38,0.74,
Asset Turnover Ratio (%),0.63,0.62,0.61,94.07,96.55,
Liquidity Ratios,,,,,,
Current Ratio (X),2.68,2.53,2.91,2.00,1.19,
Quick Ratio (X),2.60,2.46,2.78,1.86,0.83,
Inventory Turnover Ratio (X),0.00,0.00,0.00,43.52,13.85,
Dividend Payout Ratio (NP) (%),21.34,23.52,6.47,36.47,27.36,
Dividend Payout Ratio (CP) (%),15.30,17.58,4.19,7.08,13.51,
Earnings Retention Ratio (%),78.66,76.48,93.53,63.53,72.64,
Cash Earnings Retention Ratio (%),84.70,82.42,95.81,92.92,86.49,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"92,953.82","63,411.77","66,410.98","43,300.90","18,448.97",
EV/Net Operating Revenue (X),12.78,9.72,10.89,4.73,1.88,
EV/EBITDA (X),47.01,34.59,45.29,44.85,12.94,
MarketCap/Net Operating Revenue (X),12.56,9.50,10.65,4.56,1.62,
Retention Ratios (%),78.65,76.47,93.52,63.52,72.63,
Price/BV (X),11.85,8.95,10.63,8.03,3.97,
Price/Net Operating Revenue,12.56,9.50,10.65,4.56,1.62,
Earnings Yield,0.01,0.02,0.01,0.00,0.03,
