Key Financial Ratios of Apollo Hospitals Enterprises (in Rs. Cr.),Mar 09,Mar 08,Mar 07,Mar 06,Mar 05,
Per Share Ratios,,,,,,
Basic EPS (Rs.),19.60,17.34,19.38,10.65,11.77,
Diluted EPS (Rs.),19.60,17.34,19.38,10.65,11.77,
Cash EPS (Rs.),26.99,23.75,25.61,16.19,17.81,
Book Value [ExclRevalReserve]/Share (Rs.),226.30,208.48,144.56,129.35,78.81,
Book Value [InclRevalReserve]/Share (Rs.),226.30,208.48,144.56,129.35,78.81,
Dividend / Share(Rs.),6.50,6.00,5.00,4.50,4.00,
Revenue from Operations/Share (Rs.),242.05,191.50,172.55,139.89,142.47,
PBDIT/Share (Rs.),39.25,33.92,28.76,24.54,27.72,
PBIT/Share (Rs.),31.96,27.66,22.79,19.37,22.28,
PBT/Share (Rs.),29.26,24.72,19.97,17.45,18.92,
Net Profit/Share (Rs.),19.60,17.34,19.38,10.65,11.77,
Profitability Ratios,,,,,,
PBDIT Margin (%),16.21,17.71,16.66,17.54,19.45,
PBIT Margin (%),13.20,14.44,13.21,13.84,15.63,
PBT Margin (%),12.08,12.91,11.57,12.47,13.27,
Net Profit Margin (%),8.09,9.05,11.23,7.60,8.25,
Return on Networth / Equity (%),8.66,8.31,13.40,8.22,14.93,
Return on Capital Employed (%),6.32,6.41,10.50,6.81,9.67,
Return on Assets (%),5.28,5.40,8.54,5.48,7.60,
Total Debt/Equity (X),0.33,0.25,0.19,0.13,0.42,
Asset Turnover Ratio (%),65.29,59.66,76.07,72.03,92.12,
Liquidity Ratios,,,,,,
Current Ratio (X),2.15,2.15,2.11,1.93,1.81,
Quick Ratio (X),1.85,1.88,1.86,1.70,1.54,
Inventory Turnover Ratio (X),13.40,14.21,16.14,15.48,15.96,
Dividend Payout Ratio (NP) (%),34.01,34.60,25.80,42.27,33.99,
Dividend Payout Ratio (CP) (%),24.70,25.26,19.52,27.80,22.45,
Earnings Retention Ratio (%),65.99,65.40,74.20,57.73,66.01,
Cash Earnings Retention Ratio (%),75.30,74.74,80.48,72.20,77.55,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"2,833.69","3,180.55","2,643.63","2,610.16","1,580.40",
EV/Net Operating Revenue (X),1.94,2.83,2.97,3.69,2.67,
EV/EBITDA (X),11.99,15.98,17.80,21.02,13.71,
MarketCap/Net Operating Revenue (X),1.69,2.65,2.88,3.62,2.47,
Retention Ratios (%),65.98,65.39,74.19,57.72,66.00,
Price/BV (X),1.80,2.44,3.43,3.92,4.47,
Price/Net Operating Revenue,1.69,2.65,2.88,3.62,2.47,
Earnings Yield,0.05,0.03,0.04,0.02,0.03,
