Key Financial Ratios of Bharat Electronics (in Rs. Cr.),Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,
Per Share Ratios,,,,,,
Basic EPS (Rs.),7.91,5.70,6.03,56.57,145.91,
Diluted EPS (Rs.),7.91,5.70,6.03,56.57,145.91,
Cash EPS (Rs.),9.21,6.77,7.79,63.61,165.15,
Book Value [ExclRevalReserve]/Share (Rs.),37.01,31.85,33.62,363.91,985.63,
Book Value [InclRevalReserve]/Share (Rs.),37.01,31.85,33.62,363.91,985.63,
Dividend / Share(Rs.),3.40,2.00,2.25,17.00,29.20,
Revenue from Operations/Share (Rs.),49.60,42.36,38.56,303.96,855.33,
PBDIT/Share (Rs.),12.44,9.03,10.00,82.93,202.66,
PBIT/Share (Rs.),11.14,8.00,9.14,75.89,183.41,
PBT/Share (Rs.),11.09,7.99,9.09,75.70,183.24,
Net Profit/Share (Rs.),7.91,5.74,6.93,56.57,145.91,
Profitability Ratios,,,,,,
PBDIT Margin (%),25.08,21.31,25.92,27.28,23.69,
PBIT Margin (%),22.46,18.88,23.70,24.96,21.44,
PBT Margin (%),22.36,18.87,23.56,24.90,21.42,
Net Profit Margin (%),15.94,13.55,17.97,18.61,17.05,
Return on Networth / Equity (%),21.36,18.02,20.61,15.54,14.80,
Return on Capital Employed (%),27.05,22.51,24.18,14.66,14.01,
Return on Assets (%),9.41,7.55,9.02,7.53,7.67,
Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,
Asset Turnover Ratio (%),59.05,55.72,50.19,40.47,45.01,
Liquidity Ratios,,,,,,
Current Ratio (X),1.52,1.44,1.61,1.80,2.01,
Quick Ratio (X),1.09,0.98,1.05,1.33,1.52,
Inventory Turnover Ratio (X),2.74,2.27,1.77,1.75,2.03,
Dividend Payout Ratio (NP) (%),26.54,44.85,39.80,30.05,20.01,
Dividend Payout Ratio (CP) (%),22.80,38.03,35.42,26.72,17.68,
Earnings Retention Ratio (%),73.46,55.15,60.20,69.95,79.99,
Cash Earnings Retention Ratio (%),77.20,61.97,64.58,73.28,82.32,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"21,849.50","33,906.53","31,148.83","21,936.06","20,896.47",
EV/Net Operating Revenue (X),1.81,3.28,3.62,3.01,3.05,
EV/EBITDA (X),7.21,15.41,13.95,11.02,12.89,
MarketCap/Net Operating Revenue (X),1.88,3.35,4.06,4.01,3.91,
Retention Ratios (%),73.45,55.14,60.19,69.94,79.98,
Price/BV (X),2.52,4.46,4.65,3.35,3.40,
Price/Net Operating Revenue,1.88,3.35,4.06,4.01,3.91,
Earnings Yield,0.08,0.04,0.04,0.05,0.04,
