Key Financial Ratios of Bajaj Finance (in Rs. Cr.),Mar 09,Mar 08,Mar 07,Mar 06,Mar 05,
Per Share Ratios,,,,,,
Basic EPS (Rs.),9.27,5.62,13.48,10.04,33.93,
Diluted EPS (Rs.),9.27,5.62,13.48,10.04,33.93,
Cash EPS (Rs.),10.79,6.95,14.34,10.86,35.15,
Book Value [ExclRevalReserve]/Share (Rs.),297.50,290.57,281.74,229.93,167.23,
Book Value [InclRevalReserve]/Share (Rs.),297.50,290.57,281.74,229.93,167.23,
Dividend / Share(Rs.),2.00,1.00,3.00,4.00,7.50,
Revenue from Operations/Share (Rs.),161.76,111.94,99.91,100.07,88.17,
PBDIT/Share (Rs.),44.50,46.06,49.10,52.36,55.39,
PBIT/Share (Rs.),42.98,44.74,48.24,51.53,54.17,
PBT/Share (Rs.),13.21,7.73,20.08,26.11,37.29,
Net Profit/Share (Rs.),9.27,5.62,13.48,10.04,33.93,
Profitability Ratios,,,,,,
PBDIT Margin (%),27.50,41.14,49.14,52.32,62.82,
PBIT Margin (%),26.56,39.96,48.28,51.50,61.44,
PBT Margin (%),8.16,6.90,20.09,26.09,42.29,
Net Profit Margin (%),5.72,5.02,13.49,10.03,38.48,
Return on Networth / Equity (%),3.11,1.93,4.78,4.36,20.29,
Return on Capital Employed (%),2.25,1.20,2.93,2.42,13.59,
Return on Assets (%),0.83,0.53,1.34,0.94,3.93,
Total Debt/Equity (X),1.48,1.56,1.62,2.11,2.47,
Asset Turnover Ratio (%),14.64,10.65,9.97,9.46,10.22,
Liquidity Ratios,,,,,,
Current Ratio (X),1.46,1.62,1.82,1.62,1.38,
Quick Ratio (X),0.64,0.30,0.41,0.25,0.27,
Inventory Turnover Ratio (X),0.28,0.14,0.13,0.11,0.13,
Dividend Payout Ratio (NP) (%),21.58,17.78,22.25,39.84,22.10,
Dividend Payout Ratio (CP) (%),18.53,14.38,20.92,36.81,21.33,
Earnings Retention Ratio (%),78.42,82.22,77.75,60.16,77.90,
Cash Earnings Retention Ratio (%),81.47,85.62,79.08,63.19,78.67,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"1,799.55","2,660.54","2,575.25","2,066.33",914.22,
EV/Net Operating Revenue (X),3.04,6.49,7.29,9.84,6.29,
EV/EBITDA (X),11.05,15.78,14.84,18.80,10.01,
MarketCap/Net Operating Revenue (X),0.42,2.95,4.23,5.30,1.89,
Retention Ratios (%),78.41,82.21,77.74,60.15,77.89,
Price/BV (X),0.23,1.14,1.50,2.31,1.00,
Price/Net Operating Revenue,0.42,2.95,4.23,5.30,1.89,
Earnings Yield,0.14,0.02,0.03,0.02,0.20,
