Key Financial Ratios of Adani Enterprises (in Rs. Cr.),Mar 14,Mar 13,Mar 12,Mar 11,Mar 10,
Per Share Ratios,,,,,,
Basic EPS (Rs.),-1.62,4.73,3.29,2.53,5.11,
Diluted EPS (Rs.),-1.62,4.73,3.29,2.53,5.11,
Cash EPS (Rs.),-1.09,5.25,3.56,2.57,5.36,
Book Value [ExclRevalReserve]/Share (Rs.),91.24,94.26,90.94,88.82,39.56,
Book Value [InclRevalReserve]/Share (Rs.),91.24,94.26,90.94,88.82,39.56,
Dividend / Share(Rs.),1.40,1.40,1.00,1.00,1.00,
Revenue from Operations/Share (Rs.),107.20,108.12,48.03,26.61,229.59,
PBDIT/Share (Rs.),4.16,6.99,5.31,3.65,11.81,
PBIT/Share (Rs.),3.63,6.46,5.04,3.52,11.56,
PBT/Share (Rs.),-3.29,5.56,3.52,2.40,5.53,
Net Profit/Share (Rs.),-1.62,4.73,3.29,2.45,5.11,
Profitability Ratios,,,,,,
PBDIT Margin (%),3.88,6.46,11.05,13.69,5.14,
PBIT Margin (%),3.38,5.97,10.49,13.24,5.03,
PBT Margin (%),-3.07,5.13,7.32,9.01,2.40,
Net Profit Margin (%),-1.51,4.37,6.84,9.19,2.22,
Return on Networth / Equity (%),-1.78,5.01,3.61,2.75,12.91,
Return on Capital Employed (%),-1.44,4.23,3.23,2.71,8.53,
Return on Assets (%),-0.79,2.56,2.55,2.31,3.41,
Total Debt/Equity (X),0.60,0.48,0.16,0.08,1.76,
Asset Turnover Ratio (%),52.26,58.56,37.27,25.20,153.69,
Liquidity Ratios,,,,,,
Current Ratio (X),1.03,1.17,1.93,2.48,1.09,
Quick Ratio (X),0.92,1.08,1.72,2.20,1.03,
Inventory Turnover Ratio (X),11.03,16.14,8.21,6.22,42.96,
Dividend Payout Ratio (NP) (%),-86.16,29.61,30.40,40.86,19.57,
Dividend Payout Ratio (CP) (%),-128.70,26.66,28.08,38.94,18.63,
Earnings Retention Ratio (%),186.16,70.39,69.60,59.14,80.43,
Cash Earnings Retention Ratio (%),228.70,73.34,71.92,61.06,81.37,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"46,308.33","25,239.85","34,644.23","73,202.51","25,652.57",
EV/Net Operating Revenue (X),3.93,2.12,6.56,25.01,2.24,
EV/EBITDA (X),101.13,32.85,59.32,182.58,43.61,
MarketCap/Net Operating Revenue (X),3.44,1.87,6.33,24.84,2.04,
Retention Ratios (%),186.16,70.38,69.59,59.13,80.42,
Price/BV (X),4.04,2.14,3.34,7.44,11.86,
Price/Net Operating Revenue,3.44,1.87,6.33,24.84,2.04,
Earnings Yield,0.00,0.02,0.01,0.00,0.01,
