Key Financial Ratios of Adani Enterprises (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),24.95,14.29,6.55,3.35,6.35,
Diluted EPS (Rs.),24.95,14.29,6.55,3.35,6.35,
Cash EPS (Rs.),26.20,15.38,7.69,4.46,7.45,
Book Value [ExclRevalReserve]/Share (Rs.),145.96,122.23,43.01,37.53,34.20,
Book Value [InclRevalReserve]/Share (Rs.),145.96,122.23,43.01,37.53,34.20,
Dividend / Share(Rs.),1.30,1.20,1.00,1.00,1.00,
Revenue from Operations/Share (Rs.),280.81,590.57,243.90,121.47,147.38,
PBDIT/Share (Rs.),40.14,27.03,16.45,12.69,10.51,
PBIT/Share (Rs.),38.89,25.88,15.32,11.58,9.41,
PBT/Share (Rs.),33.29,19.42,10.12,5.05,8.82,
Net Profit/Share (Rs.),24.95,14.23,6.55,3.35,6.35,
Profitability Ratios,,,,,,
PBDIT Margin (%),14.29,4.57,6.74,10.44,7.13,
PBIT Margin (%),13.84,4.38,6.28,9.53,6.38,
PBT Margin (%),11.85,3.28,4.15,4.15,5.98,
Net Profit Margin (%),8.88,2.41,2.68,2.76,4.31,
Return on Networth / Equity (%),17.09,11.64,15.23,8.93,18.58,
Return on Capital Employed (%),21.80,19.44,22.52,22.91,21.12,
Return on Assets (%),6.74,4.04,3.32,2.83,5.03,
Total Debt/Equity (X),0.34,0.21,0.89,0.67,0.73,
Asset Turnover Ratio (%),0.78,2.18,1.55,102.82,116.73,
Liquidity Ratios,,,,,,
Current Ratio (X),1.15,1.09,1.09,1.08,1.02,
Quick Ratio (X),1.01,0.93,0.75,0.94,0.85,
Inventory Turnover Ratio (X),0.00,0.00,0.00,12.15,10.61,
Dividend Payout Ratio (NP) (%),4.80,7.02,15.26,0.00,22.03,
Dividend Payout Ratio (CP) (%),4.58,6.50,13.00,0.00,18.78,
Earnings Retention Ratio (%),95.20,92.98,84.74,0.00,77.97,
Cash Earnings Retention Ratio (%),95.42,93.50,87.00,0.00,81.22,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"368,783.11","201,080.39","225,423.31","115,697.33","17,072.60",
EV/Net Operating Revenue (X),11.52,2.99,8.40,8.66,1.05,
EV/EBITDA (X),80.59,65.25,124.59,82.90,14.77,
MarketCap/Net Operating Revenue (X),11.37,2.96,8.26,8.49,0.93,
Retention Ratios (%),95.19,92.97,84.73,0.00,77.96,
Price/BV (X),21.88,14.32,46.86,27.46,4.02,
Price/Net Operating Revenue,11.37,2.96,8.26,8.49,0.93,
Earnings Yield,0.01,0.01,0.00,0.00,0.05,
