Key Financial Ratios of Bharti Airtel (in Rs. Cr.),Mar 14,Mar 13,Mar 12,Mar 11,Mar 10,
Per Share Ratios,,,,,,
Basic EPS (Rs.),16.69,13.42,15.09,20.32,24.82,
Diluted EPS (Rs.),16.69,13.42,15.09,20.32,24.82,
Cash EPS (Rs.),34.60,31.40,30.67,32.46,35.61,
Book Value [ExclRevalReserve]/Share (Rs.),166.92,142.57,130.15,116.15,96.24,
Book Value [InclRevalReserve]/Share (Rs.),166.93,142.58,130.16,116.16,96.25,
Dividend / Share(Rs.),1.80,1.00,1.00,1.00,1.00,
Revenue from Operations/Share (Rs.),124.88,119.42,109.55,100.11,93.77,
PBDIT/Share (Rs.),42.91,39.32,37.57,35.97,38.61,
PBIT/Share (Rs.),24.82,21.35,21.99,23.83,28.36,
PBT/Share (Rs.),20.96,17.00,18.32,22.98,28.06,
Net Profit/Share (Rs.),16.51,13.42,15.09,20.32,24.82,
Profitability Ratios,,,,,,
PBDIT Margin (%),34.36,32.92,34.29,35.93,41.17,
PBIT Margin (%),19.87,17.87,20.07,23.80,30.24,
PBT Margin (%),16.78,14.23,16.72,22.95,29.92,
Net Profit Margin (%),13.22,11.23,13.77,20.29,26.47,
Return on Networth / Equity (%),9.89,9.41,11.59,17.49,25.79,
Return on Capital Employed (%),8.34,7.44,9.36,14.10,22.49,
Return on Assets (%),6.72,5.79,7.13,10.78,17.01,
Total Debt/Equity (X),0.13,0.24,0.29,0.23,0.14,
Asset Turnover Ratio (%),50.83,51.60,51.79,53.11,64.26,
Liquidity Ratios,,,,,,
Current Ratio (X),0.35,0.32,0.73,0.31,0.68,
Quick Ratio (X),0.35,0.32,0.73,0.31,0.68,
Inventory Turnover Ratio (X),"45,380.45","21,595.67","1,296.07","1,105.17","1,307.05",
Dividend Payout Ratio (NP) (%),10.90,7.45,6.62,4.92,4.02,
Dividend Payout Ratio (CP) (%),5.20,3.18,3.26,3.08,2.80,
Earnings Retention Ratio (%),89.10,92.55,93.38,95.08,95.98,
Cash Earnings Retention Ratio (%),94.80,96.82,96.74,96.92,97.20,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"135,553.79","123,431.07","141,532.38","145,864.10","122,667.14",
EV/Net Operating Revenue (X),2.72,2.72,3.40,3.84,3.44,
EV/EBITDA (X),7.90,8.27,9.92,10.68,8.37,
MarketCap/Net Operating Revenue (X),2.55,2.44,3.07,3.57,3.33,
Retention Ratios (%),89.09,92.54,93.37,95.07,95.97,
Price/BV (X),1.91,2.05,2.59,3.08,3.24,
Price/Net Operating Revenue,2.55,2.44,3.07,3.57,3.33,
Earnings Yield,0.05,0.05,0.04,0.06,0.08,
