Key Financial Ratios of Bharti Airtel (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),8.74,-0.16,-6.53,-46.18,-71.08,
Diluted EPS (Rs.),8.55,-0.16,-6.53,-46.18,-71.08,
Cash EPS (Rs.),59.27,46.30,37.51,-5.83,-28.77,
Book Value [ExclRevalReserve]/Share (Rs.),175.31,138.62,141.20,140.86,185.27,
Book Value [InclRevalReserve]/Share (Rs.),175.31,138.62,141.20,140.86,185.27,
Dividend / Share(Rs.),8.00,4.00,3.00,0.00,2.00,
Revenue from Operations/Share (Rs.),163.60,149.33,126.37,117.13,99.56,
PBDIT/Share (Rs.),90.22,81.85,65.32,55.30,41.01,
PBIT/Share (Rs.),39.63,35.39,21.33,15.25,3.64,
PBT/Share (Rs.),12.37,2.24,-7.57,-33.62,-93.52,
Net Profit/Share (Rs.),8.67,-0.16,-6.48,-45.88,-66.15,
Profitability Ratios,,,,,,
PBDIT Margin (%),55.14,54.80,51.68,47.21,41.19,
PBIT Margin (%),24.22,23.69,16.87,13.01,3.65,
PBT Margin (%),7.56,1.49,-5.99,-28.70,-93.93,
Net Profit Margin (%),5.29,-0.10,-5.13,-39.17,-66.43,
Return on Networth / Equity (%),4.94,-0.11,-4.59,-32.57,-35.70,
Return on Capital Employed (%),8.65,7.80,5.66,4.05,0.95,
Return on Assets (%),1.41,-0.02,-1.27,-9.07,-12.01,
Total Debt/Equity (X),1.25,1.79,1.31,1.22,0.81,
Asset Turnover Ratio (%),0.27,0.27,0.25,23.15,18.08,
Liquidity Ratios,,,,,,
Current Ratio (X),0.43,0.52,0.51,0.56,0.63,
Quick Ratio (X),0.43,0.52,0.51,0.56,0.63,
Inventory Turnover Ratio (X),0.00,0.00,0.00,"80,407.38","17,521.65",
Dividend Payout Ratio (NP) (%),45.63,"-1,967.63",0.00,-4.33,0.00,
Dividend Payout Ratio (CP) (%),6.67,6.71,0.00,-34.09,0.00,
Earnings Retention Ratio (%),54.37,"2,067.63",0.00,104.33,0.00,
Cash Earnings Retention Ratio (%),93.33,93.29,0.00,134.09,0.00,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"832,338.45","564,120.68","525,348.20","377,472.36","319,339.34",
EV/Net Operating Revenue (X),8.84,6.66,7.44,5.87,5.88,
EV/EBITDA (X),16.04,12.15,14.39,12.43,14.27,
MarketCap/Net Operating Revenue (X),7.51,5.02,5.98,4.42,4.43,
Retention Ratios (%),54.36,"2,067.63",0.00,104.33,0.00,
Price/BV (X),7.01,5.40,5.35,3.67,2.38,
Price/Net Operating Revenue,7.51,5.02,5.98,4.42,4.43,
Earnings Yield,0.01,0.00,-0.01,-0.09,-0.15,
